汉族_辽宁,0.0211723,-0.4475513,0.0119447,-0.062013,0.052625,0.020545,0.0057183,0.0022307,-0.010158,0.0052243,-0.0690697,-0.007543,0.009861,-0.0086703,-0.006379,-0.0005747,0.001347,0.0011823,-0.002556,-0.009129,0.011688,0.0076253,0.0126123,0.0009237,0.0005587
汉族_河北,0.02321980,-0.44581760,0.01176620,-0.06175760,0.04696240,0.01885300,0.00441800,0.00055380,-0.01337580,0.00462880,-0.07336720,-0.00767320,0.00862240,-0.00820240,-0.00724740,-0.00108740,0.00268580,-0.00172280,-0.00241340,-0.00975480,0.01035660,0.00358580,0.00990920,-0.00016900,0.00423920
汉族_重庆,0.02124700,-0.45258767,-0.01282200,-0.06739933,0.08524667,0.03699933,0.00109667,-0.00207667,-0.01711200,-0.00370533,-0.04817533,-0.00394633,0.01075300,-0.00380767,-0.00484067,0.00053067,0.00099967,-0.00160467,0.00398033,-0.00692000,0.01443267,0.00840833,0.01622767,0.00020067,0.00486967
汉族_福建,0.01889460,-0.45211360,-0.01455680,-0.06789460,0.08647760,0.03954660,0.00206800,-0.00189240,-0.01468460,-0.00167660,-0.05105480,-0.00473560,0.00576820,-0.00938560,-0.00561880,-0.00153820,0.00224240,0.00159640,-0.00198620,-0.01360640,0.01726940,0.00477300,0.01666320,0.00385600,-0.00670580
汉族_广东,0.01918729,-0.45249100,-0.02079557,-0.07096771,0.10102971,0.04765057,0.00026857,-0.00873586,-0.01510543,-0.00671671,-0.03062171,-0.00361814,0.00577643,-0.00406957,-0.00418800,0.00265171,-0.00033529,0.00224414,-0.00066443,-0.01566843,0.01372557,0.00865543,0.01262414,0.00020657,-0.00265171
汉族_贵州,0.02203300,-0.45045986,-0.01018236,-0.06446157,0.07917964,0.03500086,0.00208143,-0.00349436,-0.01627436,-0.00173114,-0.04773057,-0.00537371,0.00809157,-0.00778564,-0.00542871,0.00121236,0.00095000,0.00076021,-0.00386964,-0.01009407,0.01200564,0.00623564,0.01408543,0.00006879,0.00235207
汉族_河南,0.02549640,-0.44419260,0.00882480,-0.06434160,0.05053220,0.02041500,0.00672120,0.00336920,-0.01362120,0.00379060,-0.07635500,-0.01142000,0.01213060,-0.00836740,-0.00502180,-0.00000000,0.00255560,-0.00116560,-0.00148320,-0.00437700,0.01090560,0.00736980,0.00852880,-0.00168700,-0.00186800
汉族_湖北,0.02208160,-0.45455100,-0.00595880,-0.06718400,0.07496780,0.03224000,0.00023500,-0.00443060,-0.01378480,0.00222320,-0.05206160,-0.00563480,0.00874140,-0.00737660,-0.00529300,0.00010600,0.00190380,0.00093740,-0.00414800,-0.01335640,0.02033920,0.00220080,0.01340920,-0.00062680,-0.00517300
汉族_江苏,0.02243943,-0.45466700,-0.00037714,-0.07009100,0.06352829,0.02761014,0.00731857,0.00009900,-0.01419971,0.00281157,-0.06794800,-0.00753629,0.01117057,-0.00813957,-0.00750329,-0.00096600,-0.00033514,0.00260643,-0.00387886,-0.01141614,0.01329814,0.00522900,0.01271200,-0.00098114,-0.00147129
汉族_山东,0.022132,-0.448639,0.005363,-0.060114,0.051531,0.021258,0.006189,0.000436,-0.010726,0.003564,-0.07349,-0.008742,0.010291,-0.008762,-0.007842,-4.4e-05,0.001434,0.001337,-0.001201,-0.008449,0.010967,0.006608,0.011613,0.001058,-0.000492
汉族_上海,0.02959400,-0.44734100,-0.00169700,-0.06944500,0.05847250,0.03263050,0.00364250,0.00242300,-0.01513500,-0.00355350,-0.07607900,-0.01551100,0.01137250,-0.00254600,-0.00366450,0.00775650,0.00384650,0.00437050,0.00465050,-0.01707050,0.01653350,0.00779000,0.01195500,-0.00307250,-0.00514900
汉族_山西,0.02575238,-0.43959738,0.01169075,-0.06011838,0.04735512,0.01757012,0.00663887,0.00184600,-0.01009837,0.00519363,-0.07473913,-0.00839238,0.01027613,-0.00793075,-0.00675200,-0.00046400,0.00107562,-0.00044338,-0.00531075,-0.00697213,0.00875025,0.01058775,0.01230938,0.00244013,0.00142213
汉族_四川,0.01983757,-0.44813843,-0.00721914,-0.06699943,0.07715729,0.03342686,0.00198071,-0.00534029,-0.01326471,0.00036443,-0.05335643,-0.01001971,0.01000257,-0.00741214,-0.00773614,-0.00081443,0.00119214,-0.00070571,-0.00371700,-0.00582429,0.01123014,0.00630629,0.01169086,0.00022386,0.00248057
汉族_浙江,0.02162620,-0.45475420,-0.00497820,-0.06673180,0.07170580,0.03123600,0.00225600,-0.00110760,-0.01333500,-0.00010940,-0.06515020,-0.00689380,0.01332000,-0.00531240,-0.00621580,0.00283740,0.00195560,-0.00005040,-0.00570660,-0.01158040,0.01444940,0.00482240,0.01262060,0.00281940,-0.00328100
汉族_湖南,0.023775,-0.452983,-0.010641,-0.068224,0.084931,0.037398,0.004125,-0.002713,-0.016830,-0.003768,-0.044634,-0.005253,0.004823,-0.009305,-0.002430,0.004456,0.001589,0.003649,-0.001507,-0.011362,0.014676,0.007083,0.022802,0.001793,-0.001144
汉族_安徽,0.026179,-0.436678,-0.003394,-0.061693,0.054779,0.026774,0.003525,0.003000,-0.013499,0.001822,-0.069665,-0.005695,0.012785,-0.008533,-0.011672,-0.006099,-0.003129,0.002914,-0.001634,-0.009129,0.005366,0.006925,0.016762,0.001205,0.007424
汉族_江西,0.026179,-0.462066,-0.003771,-0.068153,0.080323,0.039045,0.002115,-0.004846,-0.015135,-0.005467,-0.058622,-0.009741,0.010109,-0.001651,-0.008550,0.003713,0.000782,-0.001394,-0.004399,-0.016133,0.017220,0.006554,0.011092,-0.001687,-0.003592
